Site,Long,Lat
TN21B,-75.4211113544092,37.8838
TN21D,-75.4211113544092,37.8838
TN20B,-75.4228632475322,37.88143
TN20D,-75.4228632475322,37.88143
TN19B,-75.4243071110381,37.87893
TN19D,-75.4243071110381,37.87893
TN18B,-75.4246804059304,37.87622
TN18D,-75.4246804059304,37.87622
TN17B,-75.4231130039036,37.87348
TN17D,-75.4231130039036,37.87348
TN16B,-75.4237877003814,37.87091
TN16D,-75.4237877003814,37.87091
TN14B,-75.4284144241175,37.87059
TN14D,-75.4284144241175,37.87059
TN13B,-75.4318469633531,37.87043
TN13D,-75.4318469633531,37.87043
TN15B,-75.4253091296488,37.87031
TN15D,-75.4253091296488,37.87031
TN12B,-75.4352441734486,37.87013
TN12D,-75.4352441734486,37.87013
TN11B,-75.4386261386227,37.8698
TN11D,-75.4386261386227,37.8698
TN10B,-75.4418000402907,37.86878
TN10D,-75.4418000402907,37.86878
TN9B,-75.4449902940219,37.86776
TN9D,-75.4449902940219,37.86776
TN8B,-75.4481556973581,37.86665
TN8D,-75.4481556973581,37.86665
TN7B,-75.4510693907198,37.8652
TN7D,-75.4510693907198,37.8652
TN6B,-75.4538899735271,37.86342
TN6D,-75.4538899735271,37.86342
TN5B,-75.4550368070212,37.86246
TN5D,-75.4550368070212,37.86246
TN4B,-75.4563002204066,37.8615
TN4D,-75.4563002204066,37.8615
TN3B,-75.4575306803065,37.86051
TN3D,-75.4575306803065,37.86051
TN2B,-75.4587689319224,37.85957
TN2D,-75.4587689319224,37.85957
TN1B,-75.4600503260885,37.85861
TN1D,-75.4600503260885,37.85861
TS1B,-75.4889873075843,37.83256
TS1D,-75.4889873075843,37.83256
TS2B,-75.4903045268856,37.83156
TS2D,-75.4903045268856,37.83156
TS3B,-75.4916994355704,37.83068
TS3D,-75.4916994355704,37.83068
TS4B,-75.4927421878842,37.82945
TS4D,-75.4927421878842,37.82945
TS5B,-75.4940086460345,37.82833
TS5D,-75.4940086460345,37.82833
TS6B,-75.4955314195066,37.82601
TS6D,-75.4955314195066,37.82601
TS7B,-75.4975506356054,37.82374
TS7D,-75.4975506356054,37.82374
TS8D,-75.4998912188143,37.8219
TS8B,-75.4998912188143,37.8219
TS9D,-75.5016400619481,37.82003
TS9B,-75.5016400619481,37.82003
TS10B,-75.5036414743316,37.81958
TS10D,-75.5036414743316,37.81958
